Date,Open,High,Low,Close,Adj Close,Volume
20-11-2015,7841.899902,7906.950195,7817.799805,7856.549805,7856.549805,151900
23-11-2015,7869.5,7877.5,7825.200195,7849.25,7849.25,127000
24-11-2015,7837,7870.350098,7812.649902,7831.600098,7831.600098,130600
26-11-2015,7837.149902,7897.100098,7832,7883.799805,7883.799805,219800
27-11-2015,7910.600098,7959.299805,7879.450195,7942.700195,7942.700195,150300
30-11-2015,7936.25,7966,7922.799805,7935.25,7935.25,216300
01-12-2015,7958.149902,7972.149902,7934.149902,7954.899902,7954.899902,138600
02-12-2015,7976.700195,7979.299805,7910.799805,7931.350098,7931.350098,126300
03-12-2015,7902.299805,7912.299805,7853.299805,7864.149902,7864.149902,125700
04-12-2015,7817.600098,7821.399902,7775.700195,7781.899902,7781.899902,152500
07-12-2015,7816.549805,7825.399902,7746.049805,7765.399902,7765.399902,137600
08-12-2015,7738.5,7771.25,7685.450195,7701.700195,7701.700195,135100
09-12-2015,7695.5,7702.850098,7606.899902,7612.5,7612.5,140000
10-12-2015,7643.299805,7691.950195,7610,7683.299805,7683.299805,140800
11-12-2015,7699.600098,7703.049805,7575.299805,7610.450195,7610.450195,167800
14-12-2015,7558.200195,7663.950195,7551.049805,7650.049805,7650.049805,148900
15-12-2015,7659.149902,7705,7625.100098,7700.899902,7700.899902,134300
16-12-2015,7725.25,7776.600098,7715.75,7750.899902,7750.899902,154300
17-12-2015,7783.049805,7852.899902,7737.549805,7844.350098,7844.350098,175900
18-12-2015,7828.899902,7836.149902,7753.350098,7761.950195,7761.950195,191400
21-12-2015,7745.649902,7840.75,7733.450195,7834.450195,7834.450195,126300
22-12-2015,7829.399902,7846.299805,7776.850098,7786.100098,7786.100098,125700
23-12-2015,7830.450195,7871.450195,7826.100098,7865.950195,7865.950195,117900
24-12-2015,7888.75,7888.75,7835.5,7861.049805,7861.049805,93500
28-12-2015,7863.200195,7937.200195,7863,7925.149902,7925.149902,122900
29-12-2015,7929.200195,7942.149902,7902.75,7928.950195,7928.950195,113000
30-12-2015,7938.600098,7944.75,7889.850098,7896.25,7896.25,106800
31-12-2015,7897.799805,7955.549805,7891.149902,7946.350098,7946.350098,150900
04-01-2016,7924.549805,7937.549805,7781.100098,7791.299805,7791.299805,134700
05-01-2016,7828.399902,7831.200195,7763.25,7784.649902,7784.649902,145200
06-01-2016,7788.049805,7800.950195,7721.200195,7741,7741,147100
07-01-2016,7673.350098,7674.950195,7556.600098,7568.299805,7568.299805,188900
08-01-2016,7611.649902,7634.100098,7581.049805,7601.350098,7601.350098,157400
11-01-2016,7527.450195,7605.100098,7494.350098,7563.850098,7563.850098,189000
